position,status,name,model,operator,launch_place,launch_data
25 E,active,"Es'hail 1 (Eutelsat 25B, E25B, Eurobird 2A)",LS-1300,Eutelsat Communications S.A.,6300,29-Aug-2013
25 E,active,"Alphasat I-XL (Inmarsat XL, Inmarsat-4AF4)",Alphabus,Inmarsat plc,6650,25-Jul-2013
26 E,active,BADR 5 (Arabsat 5B),Eurostar-3000,Arabsat,5420,3-Jun-2010
26 E,active,BADR 7 (Arabsat 6B),Eurostar-3000,Arabsat,5798,10-Nov-2015
26 E,active,BADR 4 (Arabsat 4B),Eurostar-2000+,Arabsat,3280,9-Nov-2006
26 E,retired,"BADR 6 (Arabsat 4C, Arabsat 4AR)",Eurostar-2000+,Arabsat,3346,7-Jul-2008
26 E,active,BADR 8 (Arabsat 7B),Eurostar-Neo,Arabsat,4500,27-May-2023
28 E,active,Astra 2F,Eurostar-3000,SES S.A.,6000,28-Sep-2012
28 E,active,Astra 2E,Eurostar-3000,SES S.A.,6052,29-Sep-2013
28 E,active,Astra 2G,Eurostar-3000,SES S.A.,6000,27-Dec-2014
29 E,retired,XTAR-EUR (XTAR-EU),LS-1300,XTAR LLC,3640,12-Feb-2005
29 E,active,Spainsat NG1 (XTAR-EUR-NG),Eurostar-Neo,XTAR LLC,6100,30-Jan-2025
31 E,active,Turksat 5A,Eurostar-3000EOR,Turksat,3500,8-Jan-2020
31 E,active,Arabsat 5A,Eurostar-3000,Arabsat,4940,26-Jun-2010
31 E,active,Arabsat 6A,A2100A,Arabsat,6000,11-Apr-2019
31 E,retired,"Intelsat 24 (Amos 1, IS-24)",Amos Bus,Intelsat,961,16-May-1996
31 E,retired,"Eutelsat 31A (E31A, Eutelsat 33A, E33A, Eurobird 3, eBird 1)",HS-376HP,Eutelsat Communications S.A.,1525,27-Sep-2003
31 E,deorbited,Turksat 1C (Türksat 1C),Spacebus-2000,Turksat,1747,9-Jul-1996
32 E,failed,"Astra 5A (GE 1E, Sirius 2)",Spacebus-3000B2,SES S.A.,2888,12-Nov-1997
33 E,deorbited,Intelsat 802 (IS-802),AS-7000,Intelsat,3447,26-Jun-1997
33 E,active,"Eutelsat 33F (E33F, Eutelsat Hot Bird 13B, HB13B, HB8, Hotbird 8, Hot Bird 8)",Eurostar-3000,Eutelsat Communications S.A.,4875,4-Aug-2006
33 E,retired,"Eutelsat 33B (E33B, Eutelsat 25C, E25C, Eutelsat 70A, E70A, W5, Eutelsat W5, Eutelsat-W1)",Spacebus-3000B2,Eutelsat Communications S.A.,3170,20-Nov-2002
33 E,retired,Galaxy 14 (G-14),GEOStar-2,Intelsat,2087,13-Aug-2005
33 E,deorbited,"Intelsat 702 (IS-702, Intelsat 7-F2)",LS-1300,Intelsat,3695,17-Jun-1994
33 E,retired,"Eutelsat 33E (E33E, Eutelsat Hot bird 13D, Eutelsat 3C, E3C, Hot Bird 10, Hotbird 10, HB-10, AB-4A, Atlantic Bird 4A)",Eurostar-3000,Eutelsat Communications S.A.,4892,12-Feb-2009
34 E,disabled,Zohreh 1 (Venus 1),Express-1000A,Iranian Space Agency (ISA),950,30-Dec-2015
35 E,retired,Arabsat 2B,Spacebus-3000A,Arabsat,2661,13-Nov-1996
36 E,active,Eutelsat 36D (E36D),Eurostar-Neo,Eutelsat Communications S.A.,5000,30-Mar-2024
36 E,active,Express AMU1 (Eutelsat 36C),Eurostar-3000,Russian Satellite Communications Company,5900,24-Dec-2015
38 E,active,Paksat-1R,DFH-4 Bus,Pakistan Ministry of Information Technology and Telecommunications,5115,11-Aug-2011
38 E,retired,"Paksat 1 (Paksat-1, Palapa C1, Anatolia 1, HGS 3)",HS-601,Pakistan Ministry of Information Technology and Telecommunications,3000,1-Feb-1996
38 E,active,Athena Fidus,Spacebus-4000B2,Telespazio/CNES,3080,6-Feb-2014
38 E,active,Paksat-MM1,DFH-4 Bus,Pakistan Ministry of Information Technology and Telecommunications,5400,30-May-2024
